Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2023-02-07,150.6399994,155.2299957,150.6399994,154.6499939,154.4142303,83322600
AAPL,2023-02-08,153.8800049,154.5800018,151.1699982,151.9199982,151.6884003,64120100
AAPL,2023-02-09,153.7799988,154.3300018,150.4199982,150.8699951,150.6399994,56007100
AAPL,2023-02-10,149.4600067,151.3399963,149.2200012,151.0099945,151.0099945,57450700
AAPL,2023-02-13,150.9499969,154.2599945,150.9199982,153.8500061,153.8500061,62199000
AAPL,2023-02-14,152.1199951,153.7700043,150.8600006,153.1999969,153.1999969,61707600
AAPL,2023-02-15,153.1100006,155.5,152.8800049,155.3300018,155.3300018,65573800
AAPL,2023-02-16,153.5099945,156.3300018,153.3500061,153.7100067,153.7100067,68167900
AAPL,2023-02-17,152.3500061,153,150.8500061,152.5500031,152.5500031,59144100
AAPL,2023-02-21,150.1999969,151.3000031,148.4100037,148.4799957,148.4799957,58867200
AAPL,2023-02-22,148.8699951,149.9499969,147.1600037,148.9100037,148.9100037,51011300
AAPL,2023-02-23,150.0899963,150.3399963,147.2400055,149.3999939,149.3999939,48394200
AAPL,2023-02-24,147.1100006,147.1900024,145.7200012,146.7100067,146.7100067,55469600
AAPL,2023-02-27,147.7100067,149.1699982,147.4499969,147.9199982,147.9199982,44998500
AAPL,2023-02-28,147.0500031,149.0800018,146.8300018,147.4100037,147.4100037,50547000
AAPL,2023-03-01,146.8300018,147.2299957,145.0099945,145.3099976,145.3099976,55479000
AAPL,2023-03-02,144.3800049,146.7100067,143.8999939,145.9100037,145.9100037,52238100
AAPL,2023-03-03,148.0399933,151.1100006,147.3300018,151.0299988,151.0299988,70732300
AAPL,2023-03-06,153.7899933,156.3000031,153.4600067,153.8300018,153.8300018,87558000
AAPL,2023-03-07,153.6999969,154.0299988,151.1300049,151.6000061,151.6000061,56182000
AAPL,2023-03-08,152.8099976,153.4700012,151.8300018,152.8699951,152.8699951,47204800
AAPL,2023-03-09,153.5599976,154.5399933,150.2299957,150.5899963,150.5899963,53833600
AAPL,2023-03-10,150.2100067,150.9400024,147.6100006,148.5,148.5,68572400
AAPL,2023-03-13,147.8099976,153.1399994,147.6999969,150.4700012,150.4700012,84457100
AAPL,2023-03-14,151.2799988,153.3999939,150.1000061,152.5899963,152.5899963,73695900
AAPL,2023-03-15,151.1900024,153.25,149.9199982,152.9900055,152.9900055,77167900
AAPL,2023-03-16,152.1600037,156.4600067,151.6399994,155.8500061,155.8500061,76161100
AAPL,2023-03-17,156.0800018,156.7400055,154.2799988,155,155,98944600
AAPL,2023-03-20,155.0700073,157.8200073,154.1499939,157.3999939,157.3999939,73641400
AAPL,2023-03-21,157.3200073,159.3999939,156.5399933,159.2799988,159.2799988,73938300
AAPL,2023-03-22,159.3000031,162.1399994,157.8099976,157.8300018,157.8300018,75701800
MSFT,2023-02-07,260.5299988,268.769989,260.0799866,267.5599976,266.89151,50841400
MSFT,2023-02-08,273.2000122,276.7600098,266.2099915,266.730011,266.0635986,54686000
MSFT,2023-02-09,273.7999878,273.980011,262.7999878,263.6199951,262.9613647,42375100
MSFT,2023-02-10,261.5299988,264.0899963,260.6600037,263.1000061,262.4426575,25818500
MSFT,2023-02-13,267.6400146,274.6000061,267.1499939,271.3200073,270.6421204,44630900
MSFT,2023-02-14,272.6700134,274.9700012,269.2799988,272.1700134,271.4900208,37047900
MSFT,2023-02-15,268.3200073,270.730011,266.1799927,269.3200073,269.3200073,28922400
MSFT,2023-02-16,264.019989,266.7399902,261.8999939,262.1499939,262.1499939,29603600
MSFT,2023-02-17,259.3900146,260.0899963,256,258.0599976,258.0599976,30000100
MSFT,2023-02-21,254.4799957,255.4900055,251.5899963,252.6699982,252.6699982,28397400
MSFT,2023-02-22,254.0899963,254.3399963,250.3399963,251.5099945,251.5099945,22491100
MSFT,2023-02-23,255.5599976,256.8399963,250.4799957,254.7700043,254.7700043,29219100
MSFT,2023-02-24,249.9600067,251,248.1000061,249.2200012,249.2200012,24990900
MSFT,2023-02-27,252.4600067,252.8200073,249.3899994,250.1600037,250.1600037,21190000
MSFT,2023-02-28,249.0700073,251.4900055,248.7299957,249.4199982,249.4199982,22491000
MSFT,2023-03-01,250.7599945,250.9299927,245.7899933,246.2700043,246.2700043,27565300
MSFT,2023-03-02,246.5500031,251.3999939,245.6100006,251.1100006,251.1100006,24808200
MSFT,2023-03-03,252.1900024,255.6199951,251.3899994,255.2899933,255.2899933,30760100
MSFT,2023-03-06,256.4299927,260.1199951,255.9799957,256.8699951,256.8699951,24109800
MSFT,2023-03-07,256.2999878,257.6900024,253.3899994,254.1499939,254.1499939,21473200
MSFT,2023-03-08,254.0399933,254.5399933,250.8099976,253.6999969,253.6999969,17340200
MSFT,2023-03-09,255.8200073,259.5599976,251.5800018,252.3200073,252.3200073,26653400
MSFT,2023-03-10,251.0800018,252.7899933,247.6000061,248.5899963,248.5899963,28333900
MSFT,2023-03-13,247.3999939,257.9100037,245.7299957,253.9199982,253.9199982,33339700
MSFT,2023-03-14,256.75,261.0700073,255.8600006,260.7900085,260.7900085,33620300
MSFT,2023-03-15,259.980011,266.480011,259.2099915,265.4400024,265.4400024,46028000
MSFT,2023-03-16,265.2099915,276.5599976,263.2799988,276.2000122,276.2000122,54768800
MSFT,2023-03-17,278.2600098,283.3299866,276.3200073,279.4299927,279.4299927,69527400
MSFT,2023-03-20,276.980011,277.480011,269.8500061,272.230011,272.230011,43466600
MSFT,2023-03-21,274.8800049,275,269.519989,273.7799988,273.7799988,34558700
MSFT,2023-03-22,273.3999939,281.0400085,272.1799927,272.2900085,272.2900085,34873300
NFLX,2023-02-07,358.5100098,364.1799927,354.1799927,362.9500122,362.9500122,6289400
NFLX,2023-02-08,360.019989,368.1900024,358.3099976,366.8299866,366.8299866,6253200
NFLX,2023-02-09,372.4100037,373.8299866,361.7399902,362.5,362.5,6901100
NFLX,2023-02-10,359.1600037,362.1400146,347.1400146,347.3599854,347.3599854,7291100
NFLX,2023-02-13,349.5,359.7000122,344.25,358.5700073,358.5700073,7134400
NFLX,2023-02-14,357.5499878,363.75,353.3999939,359.9599915,359.9599915,4624800
NFLX,2023-02-15,356.6300049,362.8800049,354.2399902,361.4200134,361.4200134,3966000
NFLX,2023-02-16,355,361.5,350.3099976,350.7099915,350.7099915,5215700
NFLX,2023-02-17,347.9100037,349,342.4400024,347.9599915,347.9599915,5294700
NFLX,2023-02-21,342.8500061,344.1300049,336.4200134,337.5,337.5,5710300
NFLX,2023-02-22,337.5,341.9100037,332.8200073,334.8800049,334.8800049,4546200
NFLX,2023-02-23,331.230011,331.2799988,314.2999878,323.6499939,323.6499939,13238700
NFLX,2023-02-24,319.2999878,321.5,314.519989,317.1499939,317.1499939,6830700
NFLX,2023-02-27,323.8699951,330,322.1199951,323.0299988,323.0299988,6142600
NFLX,2023-02-28,323.7000122,327.6199951,321.1700134,322.1300049,322.1300049,3676100
NFLX,2023-03-01,321.5499878,326.6000061,312.3599854,313.480011,313.480011,4911300
NFLX,2023-03-02,310.9599915,315.5700073,310.3800049,311.8800049,311.8800049,4911000
NFLX,2023-03-03,315.4500122,317.4899902,310.8200073,315.1799927,315.1799927,5953300
NFLX,2023-03-06,317,323.2999878,311.8399963,312.0299988,312.0299988,5660700
NFLX,2023-03-07,312.6799927,314.2999878,306.6199951,308.4700012,308.4700012,4553100
NFLX,2023-03-08,309.2900085,311.8299866,305.75,311.7900085,311.7900085,3479500
NFLX,2023-03-09,312.0799866,312.5100098,294.8800049,297.7799988,297.7799988,7443400
NFLX,2023-03-10,297.8999939,298.7900085,289,292.7600098,292.7600098,5759300
NFLX,2023-03-13,287.3399963,299.2399902,285.3299866,293.5100098,293.5100098,6292400
NFLX,2023-03-14,295.9700012,297.4500122,290.3099976,294.9400024,294.9400024,5956700
NFLX,2023-03-15,292.5100098,306.3099976,292.2799988,303.7900085,303.7900085,9215300
NFLX,2023-03-16,304.75,316.6000061,301.7099915,310.0599976,310.0599976,7903700
NFLX,2023-03-17,310.0599976,310.7600098,300,303.5,303.5,6918800
NFLX,2023-03-20,299.7900085,307.5,296,305.1300049,305.1300049,5113400
NFLX,2023-03-21,306.3200073,307.9200134,300.4299927,305.7900085,305.7900085,4886300
NFLX,2023-03-22,306.3099976,306.4500122,293.5400085,293.8999939,293.8999939,5808000
GOOG,2023-02-07,103.6299973,108.6699982,103.5479965,108.0400009,108.0400009,33738800
GOOG,2023-02-08,102.6900024,103.5800018,98.45500183,100,100,73546000
GOOG,2023-02-09,100.5400009,100.6100006,93.86000061,95.45999908,95.45999908,97798600
GOOG,2023-02-10,95.73999786,97.01999664,94.52999878,94.86000061,94.86000061,49325300
GOOG,2023-02-13,95.01000214,95.34999847,94.05000305,95,95,43116600
GOOG,2023-02-14,94.66000366,95.17500305,92.65000153,94.94999695,94.94999695,42513100
GOOG,2023-02-15,94.73999786,97.33999634,94.36000061,97.09999847,97.09999847,36964500
GOOG,2023-02-16,95.54000092,97.87999725,94.97000122,95.77999878,95.77999878,35642100
GOOG,2023-02-17,95.06999969,95.75,93.44999695,94.58999634,94.58999634,31095100
GOOG,2023-02-21,93.23999786,93.41500092,92,92.05000305,92.05000305,28367200
GOOG,2023-02-22,91.93399811,92.36000061,90.87000275,91.80000305,91.80000305,29891100
GOOG,2023-02-23,92.12999725,92.12999725,90.01000214,91.06999969,91.06999969,32423700
GOOG,2023-02-24,89.62999725,90.12999725,88.86000061,89.34999847,89.34999847,31295600
GOOG,2023-02-27,90.08999634,90.44999695,89.61000061,90.09999847,90.09999847,22724300
GOOG,2023-02-28,89.54000092,91.44999695,89.51999664,90.30000305,90.30000305,30546900
GOOG,2023-03-01,90.16000366,91.19999695,89.84999847,90.51000214,90.51000214,26323900
GOOG,2023-03-02,89.86000061,92.48000336,89.76999664,92.30999756,92.30999756,23328600
GOOG,2023-03-03,92.73999786,94.11000061,92.66000366,94.01999664,94.01999664,30242500
GOOG,2023-03-06,94.36000061,96.30000305,94.30000305,95.58000183,95.58000183,28288200
GOOG,2023-03-07,95.41999817,96.08999634,93.84400177,94.16999817,94.16999817,24101500
GOOG,2023-03-08,94.40499878,96.23999786,94.40499878,94.65000153,94.65000153,25395200
GOOG,2023-03-09,94.48999786,95.91999817,92.35500336,92.66000366,92.66000366,24438900
GOOG,2023-03-10,92.5,93.18000031,90.80000305,91.01000214,91.01000214,32850100
GOOG,2023-03-13,90.56500244,93.08000183,89.94000244,91.66000366,91.66000366,31508600
GOOG,2023-03-14,93.06999969,94.83000183,92.77999878,94.25,94.25,32303900
GOOG,2023-03-15,93.54000092,97.25,93.04000092,96.55000305,96.55000305,38367300
GOOG,2023-03-16,96.56999969,101.9700012,95.87000275,101.0699997,101.0699997,54499500
GOOG,2023-03-17,100.8399963,103.4899979,100.75,102.4599991,102.4599991,76140300
GOOG,2023-03-20,101.0599976,102.5800018,100.7900009,101.9300003,101.9300003,26033900
GOOG,2023-03-21,101.9800034,105.9599991,101.8600006,105.8399963,105.8399963,33122800
GOOG,2023-03-22,105.1399994,107.5100021,104.2099991,104.2200012,104.2200012,32336900
